Clause,Clause Type
['Any lawsuit relating to any matter arising under this Agreement may be initiated in a State or Federal Court located in the Commonwealth of Massachusetts or in any court in the Netherlands having jurisdiction over the matter.'],Governing Law
"['This Agreement shall be governed by and construed in accordance with the laws of the State of Nevada, USA in force therein without regard to its conflict of law rules.']",Governing Law
"['This Agreement and the performance of transactions under this Agreement       shall be governed by the substantive laws of the state of New York.', 'This Agreement and the rights and obligations of the parties hereto shall       be construed in accordance with the substantive laws of the State of New       York.']",Governing Law
"['This Agreement shall be governed and construed in accordance with the laws of Maryland, without regard to its choice of law rules.']",Governing Law
"['This Agreement, and all matters arising out of or relating to this Agreement, shall be governed by the laws of the State of California.']",Governing Law
"['This Agreement shall be governed by and construed in accordance with the laws of the Province of British Columbia and the federal laws of Canada applicable therein, excluding its conflict-of-laws rules.']",Governing Law
"['This Agreement shall be deemed to have been made and executed                   in the State of Missouri and any dispute arising thereunder                   shall be resolved in accordance with the laws of the State of                   Missouri, without reference to its rules governing conflicts                   of law.', 'This Agreement shall be subject to and governed by the laws of the          State of Missouri, USA.']",Governing Law
['This Agreement shall be governed by and construed in accordance with the laws of the State of Colorado excluding its choice of law provisions.'],Governing Law
"['The laws of the State of Florida shall govern this      Agreement, without reference to conflicts of law provisions.']",Governing Law
"['Pursuant to and in accordance with Section 5-1401 of the New York General Obligations Law, the Parties hereto agree that this Amendment in all respects, and any claim or cause of action based upon or arising out of this Amendment, or any dealing between the Parties relating to the subject matter of this Amendment or the transactions contemplated hereby or the Company/Repairer relationship being established, shall be governed by, and construed in accordance with, the laws of the State of New York, U.S.A. as applied to contracts to be performed wholly within the State of New York (Exclusive of Section 7-101 of the New York General Obligations Law which is inapplicable to this Amendment).']",Governing Law
"['Pursuant to and in accordance with Section 5-1401 of the New York General Obligations Law, the Parties hereto agree that this Agreement in all respects, and any claim or cause of action based upon or arising out of this Agreement, or any dealing between the Parties<omitted>relating to the subject matter of this Agreement or the transactions contemplated hereby or the Company/Repairer relationship being established, shall be governed by, and construed in accordance with, the laws of the State of New York, U.S.A. as applied to contracts to be performed wholly within the State of New York (Exclusive of Section 7-101 of the New York General Obligations Law which is inapplicable to this Agreement).']",Governing Law
"['This Agreement shall be governed by the internal laws, and not by the laws regarding conflicts of laws, of the State of North Carolina.']",Governing Law
['This Agreement shall be governed by and construed in accordance with the laws of the Province of Ontario and the federal laws of Canada applicable in the Province of Ontario.'],Governing Law
"['This Agreement is made under and subject to the provision of the substantive laws of the State of New York, without giving effect to its conflict of law rules.']",Governing Law
['This Agreement shall be construed and enforced in accordance with the laws of the State of New Jersey.'],Governing Law
"['This Agreement (including any dispute hereunder) and the documents to be entered into pursuant to it, save as expressly otherwise provided therein, will be governed by and construed in accordance with the Laws of the Netherlands']",Governing Law
['This Agreement and any amendments thereto shall be construed according to the laws of the State of Colorado without regard to conflicts of law principles and any disputes hereunder shall be litigated in a state court in Colorado.'],Governing Law
"['This Agreement shall be governed in all respects by, and construed and enforced in accordance with, the laws of the State of New York, USA, without regard to the conflict of law provisions thereof or the United Nations Convention on Contracts for the International Sale of Goods; provided, however, that any dispute relating to the scope, validity, enforceability or infringement of any Intellectual Property Right will be governed by, and construed and enforced in accordance with, the substantive laws of the jurisdiction in which such Intellectual Property Right applies.']",Governing Law
['This Agreement shall be governed by and construed in accordance with the laws of the state of Delaware.'],Governing Law
['This Manual is governed in all its parts by the applicable regulations of the Republic of Colombia.'],Governing Law
"['This Agreement and the rights and duties of                   Transporter and Shipper hereunder shall be governed by and                   interpreted in accordance with the laws of the State of                   Arkansas, without recourse to the law governing conflict of                   laws.']",Governing Law
['This Agreement shall be governed and construed in accordance with the         laws of the Province of Ontario.'],Governing Law
"['This Agreement shall be construed and interpreted in accordance with the laws of the State of Ohio, without recourse to any principles of law governing conflicts of law, which might otherwise be applicable.']",Governing Law
['Effective legislation of the Republic of Kazakhstan shall apply to any      relations of the Parties arising out of this Contract.'],Governing Law
"['THE INTERPRETATION AND PERFORMANCE OF THIS CONTRACT SHALL BE IN ACCORDANCE WITH AND CONTROLLED BY THE LAWS OF THE STATE OF TEXAS, WITHOUT REGARD TO THE DOCTRINES GOVERNING CHOICE OF LAW.']",Governing Law
"['Except as otherwise indicated, in all other respects, the right and obligations of the Parties under this Agreement shall be governed by and construed in accordance with the laws of the ***.']",Governing Law
"[""This Agreement shall be governed by and interpreted pursuant to the laws of the People's Republic of China that are promulgated and are publicly available, provided that the general international business practices shall apply if the laws of the People's Republic of China that are promulgated and are publicly available do not involve any matter in relation to this Agreement.""]",Governing Law
"['The execution, validation, interpretation, performance, modification and termination of this Agreement and the settlement of disputes under this Agreement shall be governed by the Laws of China.']",Governing Law
"['This Agreement will be construed and interpreted in accordance with the laws of the State of Delaware, without regard to any choice of law provision.']",Governing Law
"['This Agreement and the rights of the Parties hereunder shall be governed by and construed in accordance with the laws of the Commonwealth of Pennsylvania including all matters of construction, validity, performance, and enforcement and without giving effect to the principles of conflict of laws.']",Governing Law
"['The Parties agree that the venue for any action, injunctive application or dispute determinable by a court of law arising  out of this Agreement and that this Agreement shall be governed by and construed and enforced in accordance with the  laws of the State of North Carolina, without giving effect to choice of law or arbitration provisions, and that the federal  and state courts therein shall have jurisdiction over the subject matter and the Parties.']",Governing Law
"['This Agreement and its formation, operation and performance      shall be governed, construed, performed, and enforced in accordance with      the laws of the State of California.']",Governing Law
['This Agreement shall be governed by the laws of the Province of Ontario and the federal laws of  Canada applicable therein.'],Governing Law
['This Agreement is governed by English law and the parties submit to the exclusive jurisdiction of the English courts in  relation to any dispute (contractual or non-contractual) concerning this Agreement save that either party may apply to any court for an  injunction or other relief to protect its Intellectual Property Rights.'],Governing Law
"['This Agreement will be governed by and construed in accordance with the laws of the State of California, exclusive of conflicts of law principles, and will, to the maximum extent practicable, be deemed to call for performance in Los Angeles County, California.']",Governing Law
"['The Joint Venturers declare that in entering into this      Agreement, they have contracted with reference to the laws of the      Commonwealth of Pennsylvania, and the construction and interpretation of      the terms and provisions of this Agreement shall be interpreted and      construed under the laws of the Commonwealth of Pennsylvania, except in      such cases and to such extent as the laws of another jurisdiction shall      necessarily control.']",Governing Law
"['This Agreement shall be governed by, and construed in accordance with the laws of Taiwan.']",Governing Law
['This Agreement is entered into in the State of Texas and shall be interpreted according to the laws of the State of Texas.'],Governing Law
"['Except to the extent governed by the Federal Arbitration Act or other federal law, this Agreement and all claims arising from the relationship between Hyatt (and/or any of its Affiliates) and Playa (and/or any of its Affiliates) under this Agreement will be governed by the laws of the State of Illinois (U.S.A.), without regard to its conflict of laws rules, except that any Illinois law or any other law regulating the offer or sale of franchises, business opportunities, or similar interests, or governing the relationship between a franchisor and a franchisee or any similar relationship, will not apply unless its jurisdictional requirements are met independently without reference to this Section 4.']",Governing Law
"['THIS AGREEMENT SHALL BE GOVERNED IN ALL RESPECTS, INCLUDING WITHOUT LIMITATION VALIDITY, INTERPRETATION AND EFFECT, BY THE LAWS OF THE STATE OF DELAWARE APPLICABLE TO CONTRACTS EXECUTED AND TO BE PERFORMED WHOLLY WITHIN SUCH STATE WITHOUT GIVING EFFECT TO THE CHOICE OF LAW PRINCIPLES OF SUCH STATE.']",Governing Law
"['This Agreement shall be exclusively governed by and construed in accordance with the laws of the State of New York, USA without regard to its conflict of laws provisions.']",Governing Law
"['The interpretation, construction and performance of this Agreement, and the rights granted and obligations arising hereunder, shall be governed in accordance with the substantive laws of the State of New York, without regard to its conflicts of law rules.']",Governing Law
"['This Agreement shall be governed and construed in accordance with the laws of the State of Delaware, without reference to the conflicts of laws principles thereunder.']",Governing Law
"['By this Agreement the Participants enter into a general Joint Venture (the ""Joint Venture"") in accordance with the laws of The State of Florida.']",Governing Law
"['This Agreement will be construed in accordance with           and governed by the laws of the State of California, without regard to           principles of  conflicts of law.']",Governing Law
"['This Agreement will be construed under and in accordance with, and governed in all respects by, the laws of the State of New York, without regard to its conflicts of law principles.']",Governing Law
['This  Agreement  shall be  governed  by and  construed  in      accordance  with the laws of the  Province  of  British  Columbia  (without      regard to its conflict of laws provisions)  which shall be deemed to be the      proper law thereof.'],Governing Law
"['This Agreement shall be governed by, and construed and enforced in accordance with, the substantive laws of the State of Delaware, without regard to any conflicts of law provisions thereof that would result in the application of the laws of any other jurisdiction.']",Governing Law
"['This Agreement shall be interpreted, construed and enforced in all respects in accordance with the laws of the State of Illinois, except with regards to its rules regarding choice of law.']",Governing Law
['The Master Franchise Agreement requires application of the laws of New York.'],Governing Law
['This Agreement shall be interpreted and construed under the laws of the State of New York.'],Governing Law
['This Agreement shall be governed by and construed in accordance with the laws of the Commonwealth of Pennsylvania.'],Governing Law
['This Second Amendment shall be governed by and construed in accordance with the laws of the Commonwealth of Pennsylvania.'],Governing Law
['This Limited Power of Attorney shall be governed and construed in accordance with the laws of the Commonwealth of Pennsylvania without reference to principles of conflicts of laws.'],Governing Law
['This Amendment shall be governed by and construed in accordance with the laws of the Commonwealth of Pennsylvania.'],Governing Law
"['4.8 This Agreement will be governed exclusively by and construed in accordance  with the laws of the Province of British Columbia, and the parties attorn to the exclusive  jurisdiction of the Courts of British Columbia.']",Governing Law
"['This Agreement shall be construed, and the respective rights of the Parties determined, according to the substantive law of the State of Delaware notwithstanding the provisions governing conflict of laws under such Delaware law to the contrary, except matters of intellectual property law which shall be determined in accordance with the intellectual property laws relevant to the intellectual property in question.']",Governing Law
"['This Agreement shall be governed by and construed in accordance with the laws of New York, US, without reference to its conflict of laws principles, and shall not be governed by the United Nations Convention of International Contracts on the Sale of Goods (the Vienna Convention).']",Governing Law
"['The English text of this Agreement shall control any interpretation of its provisions, and this Agreement and the legal relations among the Parties and the Company shall in all respects be interpreted, construed and governed by and in accordance with the laws of Japan.']",Governing Law
"[""The formation, validity, interpretation and implementation of this Contract, and any disputes arising under this Contract, shall be governed by the published laws of the People's Republic of China.""]",Governing Law
['THIS AGREEMENT SHALL BE GOVERNED BY AND CONSTRUED IN ACCORDANCE WITH THE INTERNAL LAWS OF THE COMMONWEALTH OF PENNSYLVANIA WITHOUT GIVING EFFECT TO ANY CHOICE OR CONFLICT OF LAW PROVISION OR RULE (WHETHER OF THE COMMONWEALTH OF PENNSYLVANIA OR ANY OTHER JURISDICTION).'],Governing Law
"['This Agreement shall be governed by, and construed in accordance with, the laws of the State of New York without regard to principles of conflict of laws.']",Governing Law
"['This Agreement will be governed by and construed in accordance with the laws of the State of California, exclusive of conflict of laws principles.', 'This Letter of Authorization will be governed by and construed in accordance with the laws of California, excluding its conflict of laws provisions, and be subject to the non-exclusive jurisdiction of the California courts.']",Governing Law
"['By this Agreement the Members enter into a joint venture (the ""Venture"") in accordance with the laws of the State of Florida.']",Governing Law
['This Amendment shall be governed by and construed in accordance with the laws of Japan.'],Governing Law
"['All disputes arising out of or in connection with this Agreement shall be finally settled under the Rules of Arbitration of the International Chamber of Commerce by one or more arbitrators appointed in accordance with the said Rules. Any such arbitration shall (i) be subject to the application of the Italian Law, (ii) take place in Paris, France and (iii) be conducted in English.']",Governing Law
['his Agreement shall be governed by and construed in accordance with the laws of India and the Delhi Courts shall have exclusive jurisdiction over any legal proceedings in respect of this Agreement.'],Governing Law
['This Affiliate Agreement shall be governed by the laws of the State of Delaware.'],Governing Law
['This Agreement shall be construed  in accordance with the laws of the District of Columbia.'],Governing Law
['This  Agreement  shall  be  construed  in accordance with the laws of the State of Kansas.'],Governing Law
['This Agreement shall be governed by and construed in accordance with the laws of the State of New York applicable to agreements made and to be performed in said State without regard to the conflicts of laws provisions thereof.'],Governing Law
['This Agreement shall be interpreted under the                   laws of the State of Nevada.'],Governing Law
['THIS AGREEMENT IS TO BE CONSTRUED IN ACCORDANCE WITH AND GOVERNED BY THE LAWS OF THE STATE OF GEORGIA (WITHOUT REGARD TO THOSE LAWS RELATING TO CHOICE OF LAW) APPLYING TO CONTRACTS ENTERED INTO AND TO BE PERFORMED WITHIN THE STATE OF GEORGIA.'],Governing Law
['This Agreement and all related business transactions will be governed by the laws of the Commonwealth of Massachusetts (without reference to principles of conflicts or choice of law which would cause the application of the internal laws of any other jurisdiction).'],Governing Law
['This Agreement shall be governed by and construed in accordance with the laws of the State of New York without regard to principles of conflicts of law.'],Governing Law
"['This Agreement shall be governed by, and construed in accordance with, the laws of the State of New York.']",Governing Law
"['This Agreement is deemed made and entered into in the State of California and shall be construed, enforced and performed in  accordance with the laws of the State of California, without reference, to choice of law.']",Governing Law
"['This Agreement shall be governed by the laws of the State of New York, without giving effect to its principles of conflicts of laws, other than Section 5-1401 of the New York General Obligations Law.']",Governing Law
['Any disputes or claims arising under this Agreement shall be governed by the laws of the State of Texas.'],Governing Law
['This Agreement shall be governed by and construed in accordance with the laws of the State of Missouri.'],Governing Law
"['This Agreement shall be governed by and interpreted under the laws of the State of Florida, USA,.']",Governing Law
"['This Agreement shall be governed by and be                --------- ----                                            construed in accordance with the laws of the Province of Ontario, Canada.']",Governing Law
"['The construction, interpretation, and performance of this Agreement and all transactions under it shall be governed by the laws of the State of Texas, irrespective of its conflict of law principles.']",Governing Law
"['This Agreement will be governed by and construed in accordance with the laws of the State of California excluding that body of law pertaining to conflict of laws, except with respect to issues governed by the copyright laws of the United States.']",Governing Law
"['This Agreement shall be construed and enforced in accordance with, and the rights of the parties shall be governed by, the laws of the State of New York and the laws of the United States applicable therein.']",Governing Law
['This Agreement shall be governed by the internal laws State of New York.'],Governing Law
['This Agreement is entered into in the State of Texas and shall be interpreted according to the laws of the State of Texas.'],Governing Law
"['This Agreement is governed by the laws of Victoria, Australia and the parties submit to the jurisdiction of the courts of Victoria,  Australia']",Governing Law
"['This Agreement shall be governed by and interpreted in accordance with the laws of the State of Texas, United States of America, without giving effect to any conflict of laws provisions.']",Governing Law
['The terms of this Agreement shall be governed by and construed in accordance with the laws of England.'],Governing Law
"['This Agreement shall be construed and its provisions interpreted under and in accordance with the internal  Laws of the State of Connecticut, without giving effect to principles of conflict or choice of laws of that or any other  jurisdiction.']",Governing Law
['This Agreement will be governed by and construed in accordance with the Laws of the State of Illinois applicable to agreements made and to be performed wholly within that State without regard to its conflicts of laws provisions.'],Governing Law
['This agreement will be governed by and must be construed in accordance with the laws of the State of Israel'],Governing Law
"['The laws of the province of Ontario, Canada, govern this AGREEMENT and,  in respect of any dispute, which may arise hereunder; Agent consents to the jurisdiction of the federal and provincial  courts of Ontario, Canada.']",Governing Law
"['This Agreement shall be governed and construed in accordance with the laws of the State of New York applicable to contracts made and wholly performed within such state, except for matters directly within the purview of the DGCL, which shall be governed by the DGCL.', 'This Joinder Agreement and the rights of the parties hereto shall be governed by and construed in accordance with the laws of the State of New York applicable to contracts made and to be performed therein.']",Governing Law
"['The construction, validity and performance of this Agreement shall be governed in all respects by the laws of Japan.']",Governing Law
['This Agreement shall be governed by the laws of the State of Florida.'],Governing Law
"['This Agreement, and the rights and obligations of the Parties hereunder, shall be subject to, and construed in accordance with, the laws of the State of New York.']",Governing Law
['This Agreement is governed by English law.'],Governing Law
['This Agreement shall be construed in accordance with the laws of the State of Delaware without regard to its conflict of laws provisions.'],Governing Law
['This Agreement and the rights and obligations of the Parties hereunder will be governed by the laws of the State of Delaware without regard to the conflict of laws provisions of any jurisdiction.'],Governing Law
"['This Agreement and any disputes, claims, or actions related thereto shall be governed by and construed in accordance with the laws of the State of California, USA, without regard to the conflicts of law provisions thereof.']",Governing Law
['This Agreement shall be governed by and interpreted in accordance under the laws of the State of New York.'],Governing Law
"['The execution, validity, construction, enforcement and the settlement of any disputes herefrom shall be governed by PRC Laws.']",Governing Law
"['This Agreement shall be governed by and construed in accordance with the internal laws of the State of Delaware applicable to agreements made and to be performed within that state, without giving effect to any law or principals of law that would result in the application of the laws of any other jurisdiction.']",Governing Law
"['This Agreement and any dispute arising from the performance or breach hereof shall be governed by and construed and enforced in accordance with, the laws of the State of California, without reference to conflicts of laws principles.']",Governing Law
"['THIS AGREEMENT WILL BE GOVERNED IN ALL RESPECTS, INCLUDING VALIDITY, INTERPRETATION AND EFFECT, BY THE LAWS OF THE STATE OF DELAWARE WITHOUT GIVING EFFECT TO THE CHOICE OF LAW PRINCIPLES OF SUCH STATE.']",Governing Law
"['This Agreement and its application and interpretation will be governed exclusively by its terms and the laws of the State of Nevada (USA), and excluding any conflicts of law provisions which would require the application of any law other than Nevada.']",Governing Law
"['The execution, effect, interpretation and performance of this Agreement and resolution of any dispute arising from this Agreement will be governed by PRC Laws.']",Governing Law
"['This Agreement shall be governed in all respects, including validity, interpretation, and effect, by, and construed in accordance with, the laws of the State of Delaware executed and to be performed wholly within the State of Delaware, without giving effect to the choice of law or conflict of law principles thereof or of any other jurisdiction to the extent that such principles would require or permit the application of the laws of another jurisdiction.']",Governing Law
"['This Agreement and any dispute, controversy or claim arising out of or in connection with it or its subject matter, existence, negotiation, validity, termination, breach or enforceability (including non-contractual disputes or claims) shall be governed by and construed in accordance with the laws of England and Wales.']",Governing Law
['This Agreement shall be governed by and construed in accordance with the internal laws of the State of Delaware applicable to agreements made and to be performed within that state.'],Governing Law
"['This AGREEMENT is controlled by the laws of the State of Texas, and venue for any actions brought to enforce this AGREEMENT shall be brought exclusively in a court of competent jurisdiction in Pecos County, Texas.']",Governing Law
"['THIS AGREEMENT SHALL BE GOVERNED IN ALL RESPECTS, INCLUDING VALIDITY, INTERPRETATION AND EFFECT, BY THE LAWS OF THE STATE OF DELAWARE WITHOUT GIVING EFFECT TO THE CHOICE OF LAW PRINCIPLES OF SUCH STATE.']",Governing Law
"['This Agreement shall be governed by, and construed and interpreted in accordance with, the laws of the State of New York, United States of  America, without regard to the principles of conflicts of law thereof.']",Governing Law
"['This Agreement shall be construed in accordance with, and governed by, the\n\n\n\n\n\nlaws of the State of Georgia, without regard to the conflicts of law rules of such state.']",Governing Law
"['This Agreement shall be governed by the laws of the State of Delaware, its rules of conflict of laws notwithstanding.', 'This Assignment shall be governed by the laws of the State of Delaware, its rules of conflict of laws notwithstanding.']",Governing Law
"['This IP Agreement and the legal relations among the Parties will be governed by and construed in accordance with the rules and  substantive Laws of the State of California, United States of America, without regard to conflicts of law provisions.']",Governing Law
"['This Agreement and all disputes or controversies arising out of or relating to this Agreement or the transactions contemplated hereby shall be governed by, and construed in accordance with, the internal laws of the State of New York, without regard to the laws of any other jurisdiction that might be applied because of the conflicts of laws principles of the State of New York.']",Governing Law
"['The validity, implementation and interpretation of this Agreement shall be governed by the laws of PRC.']",Governing Law
['This Agreement shall be construed in accordance with and governed by the substantive internal laws of the State of New York.'],Governing Law
"['This Agreement shall be governed by, and construed and enforced in accordance with, the laws of the State of Delaware, without regard to any conflict or choice-of-law provision or rule (whether of the State of Delaware or any other jurisdiction) that would cause the application of the laws of any jurisdiction other than the State of Delaware.']",Governing Law
"['This Intellectual Property Agreement shall be construed and interpreted according to the laws of the State of Georgia, applicable contracts to be wholly performed within the State of Georgia.']",Governing Law
"['The Laws of the State of Delaware (without reference to its principles of conflicts of law) shall govern the construction, interpretation and other matters arising out of or in connection with this IP Agreement and its schedules (whether arising in contract, tort, equity or otherwise).']",Governing Law
"['South Dakota', 'This Agreement shall be construed in accordance with and governed by the laws of the State of South Dakota.']",Governing Law
"['This Agreement shall be governed by, and construed in accordance with, the laws of the Federal Republic of Germany excluding the United Nations Convention on Contracts of International Sale of Goods (CISG) and the provisions of German private  international law.']",Governing Law
['This Agreement shall be governed by the laws of the State of Texas.'],Governing Law
"['This Agreement shall be governed by, construed in accordance with the laws of Ontario, Canada.']",Governing Law
"['This Agreement will be governed by the laws of California, without reference to conflicts of laws.']",Governing Law
"['This Agreement will be governed by and interpreted in      accordance with the local laws of the State of Washington, U.S.A., without      regard to its conflicts of law provisions and not including the provisions      of the 1980 U.N. Convention in Contracts for the International Sale of      Goods.']",Governing Law
"['This Agreement shall be governed by and construed in accordance with the laws of the State of Connecticut, U.S.A. without regard to its conflict of taws provision.']",Governing Law
"['This Agreement is deemed to have been entered into  in the State          of Colorado,  and its  interpretation,  construction,  and the remedies          for its  enforcement  or breach  are to be applied  pursuant  to and in          accordance with the laws of the State of Colorado.']",Governing Law
"['This Agreement shall be governed by and interpreted in accordance with the laws of the State of New York, USA without regard to conflict of  laws principles.']",Governing Law
['This Agreement is to be construed according to the laws          of the State of Illinois.'],Governing Law
"[""The validity, construction, and performance of this Agreement shall be governed by and interpreted in accordance with the laws of the People's Republic of China.""]",Governing Law
"['This agreement shall be governed by and subject to the internal laws (exclusive of the conflicts of law provisions) and decisions of the courts of the State of Illinois', 'This Agreement shall be governed by and interpreted under and in accordance with the laws of the State of Delaware without regard to principles of conflicts of laws.']",Governing Law
"['This Agreement shall be interpreted and      governed by the laws of the State of Texas. Comware agrees to submit to the      jurisdiction of the State of Texas, Bexar County, USA.']",Governing Law
"['This Agreement, its interpretation and construction, and the remedies for its enforcement or breach are to be applied in accordance with the laws of the State of New Jersey.']",Governing Law
"['The validity, construction and performance of this Agreement shall be governed by the laws of the State of Texas, not including any of its conflicts of law rules that would direct or refer to the laws of another jurisdiction.']",Governing Law
"['This contract shall be governed by and construed in accordance with the laws of the State of Texas, excluding any binding conflict of laws rule which might refer such construction to the laws of another state.']",Governing Law
['This Agreement shall be governed by and construed in accordance with the laws of the State of Texas.'],Governing Law
['This Agreement shall be governed and construed according to the laws of the State of Kansas.'],Governing Law
['This Agreement shall be governed by and       construed in accordance with the laws of the State of California without       regard to conflict of law principles.'],Governing Law
['This Agreement has been made in the State of California and shall be governed by and construed in accordance with the laws thereof without regard to principles of conflicts of laws.'],Governing Law
"['This Agreement was negotiated and is being contracted<omitted>for in Nevada, and shall be governed by the laws of the State of           Nevada, and the United States of America, notwithstanding any           conflict-of-law provision to the contrary.']",Governing Law
"['Except to the extent preempted by Employee Retirement Income Security Act of 1974, as amended (""ERISA""), all rights hereunder shall be governed by and construed in accordance with the laws of the State of New York without regard to its rules governing conflicts of laws, or the rules of any other jurisdiction which would cause the laws of any\n\n\n\n\n\njurisdiction other than the State of New York to apply.']",Governing Law
"['This agreement shall be governed by, and its provisions enforced in accordance with, the laws of the State of Ohio, without regard to its principals of conflicts of laws.']",Governing Law
"['This Agreement shall be construed and enforced in            accordance with, and governed by the laws of the State of Colorado           without regard to conflicts of laws principles.']",Governing Law
"['This Agreement shall be governed by and construed in accordance with the laws of the Commonwealth of Virginia applicable to contracts entered into and wholly to be performed within the Commonwealth of Virginia and, in the event of any litigation arising out of this Agreement, venue shall be the Commonwealth of Virginia.']",Governing Law
['This Agreement shall be governed and construed according to the law of Tennessee.'],Governing Law
"['This Agreement and all questions regarding its validity or interpretation, or the breach or performance of this Agreement, shall be governed by, and construed and enforced in accordance with, the laws of the State of New York, United States, without reference to conflict of law principles.']",Governing Law
"['This Agreement is subject to and governed by the laws of the State of Delaware, U.S.A. (without regard to conflict of law principles).']",Governing Law
"['THIS AGREEMENT SHALL BE GOVERNED BY AND CONSTRUED IN ACCORDANCE WITH THE INTERNAL LAWS OF THE STATE OF NEW YORK APPLICABLE TO AGREEMENTS MADE AND TO BE PERFORMED ENTIRELY WITHIN SUCH STATE, WITHOUT REGARD TO THE CONFLICTS OF LAW PRINCIPLES OF SUCH STATE OTHER THAN SECTIONS 5-1401 OF THE NEW YORK GENERAL\n\n\n\n\n\nOBLIGATIONS LAW.']",Governing Law
"['This Agreement and all matters pertaining hereto shall be governed by and construed under the laws of the State of Louisiana, except to the extent that the conflict of law rules of said state would require that the laws of another state would govern its validity, construction, or interpretation.']",Governing Law
"['This Agreement takes effect upon its acceptance and execution by AIRSOPURE in the State of Texas, and shall be interpreted and construed under the laws of the State of Texas.']",Governing Law
"['The Parties agree that, except to the extent governed by the United States Trademark Act of 1946 (Lanham Act; 15 U.S.C.  lj 1050 et seq.), as amended, this Agreement will be governed by the laws of the State of New York without recourse to New York choice of law or conflicts of law principles.']",Governing Law
"['This Agreement shall become valid when executed  and  accepted  by BKC in  Miami,  Florida;  it shall be  governed  and construed under and in accordance with the laws of the State of Florida; U.S.A.; provided,  however,  that since the Franchisee is a corporation formed under the laws of the  Republic  of  Poland  which is not doing  business  in the State of Florida, the Florida Franchise Act, Florida Statutes Section 817.416(1971) shall not apply to this Agreement.']",Governing Law
"['The Franchise Agreement requires application of the laws of the State of Texas.', 'This Agreement will be interpreted and construed exclusively under the laws of the State of Texas, which laws will prevail in the event of any conflict of law (without regard to, and without giving effect to, the application of Texas choice-of-law rules); provided, however, that if the covenants in Section 19 of this Agreement would not be enforced as written under\n\nPage 55 of 80\n\n\n\n\n\nTexas law, then the parties agree that those covenants will instead be interpreted and construed under the laws of the state in which the Franchised Business is located.']",Governing Law
"['Except to the extent governed by the United States Trademark Act of 1946 (Lanham Act, 15 U.S.C. §§ 1051  et seq.) and except that all issues relating to arbitrability or the enforcement or interpretation of the agreement to arbitrate set forth in Section 17.9 which will be governed by the United States Arbitration Act (9 U.S.C. § 1  et seq.) and the federal common law relating to arbitration, this Agreement and the Franchise will be governed by the internal laws of the State of Arizona (without reference to its choice of law and conflict of law rules), except that the provisions of any Arizona law relating to the offer and sale of business opportunities or franchises or governing the relationship of a franchisor and its franchisees will not apply unless their jurisdictional requirements are met independently without reference to this Paragraph.']",Governing Law
['This Agreement shall be governed and construed and enforced in accordance with the laws of the State of New York applicable to contracts made and to be performed exclusively in that State without giving effect to the principles of conflict of laws.'],Governing Law
"['This Agreement will be governed by the substantive laws of the State of New York, without regard for its conflict of laws provisions.']",Governing Law
"['This Agreement will be governed and interpreted according to the laws           of the State of California, without reference to principles of           conflicts of laws.']",Governing Law
"['This Agreement shall be governed, construed and interpreted in accordance with the laws of the State of California (without respect to principles of conflicts of law).']",Governing Law
"['All questions regarding the validity, interpretation, performance and enforcement of the provisions of this Agreement shall be governed by the laws of the state of New York.']",Governing Law
"['This Agreement shall be governed by         the laws of the State of California, USA, excluding conflict of laws         provisions and excluding the 1980 United Nations Convention on Contracts         for the International Sale of Goods.']",Governing Law
"['This Agreement shall be governed by and construed in                       accordance with the laws of the State of New York without                       reference to its conflict or choice of law rules or                       principles.', 'This Agreement shall be governed by          the laws of the State of California, USA, excluding conflict of laws          provisions and excluding the 1980 United Nations Convention on          Contracts for the International Sale of Goods.']",Governing Law
"['This Agreement shall be construed, enforced, performed and in all respects governed by and in accordance with the laws in the State of Washington.']",Governing Law
"['This Agreement shall be governed by and interpreted in accordance with the substantive laws of the State of New York, without regard to its conflict of law provisions.']",Governing Law
"['Notwithstanding its place of execution or performance, this Agreement shall be governed by and construed in accordance with the laws of the State of Texas, irrespective of its laws regarding choice or conflict of laws.']",Governing Law
['This Amendment and and any dispute or claim (including non-contractual disputes or claims) arising out of or in connection with it or its subject matter or formation shall be governed by and construed in accordance with the laws of England.'],Governing Law
['This Agreement shall be governed by and construed under the laws of Hong Kong without regard to choice of laws principles.'],Governing Law
"['This Agreement will be construed and interpreted and its performance governed by the laws of the State of New York, without giving effect to its conflict of laws principles.']",Governing Law
"['This Agreement shall be governed by the law of California, U.S.A. and the arbitrators shall apply California law to the merits of any dispute or claim, without reference to conflict of law principles.']",Governing Law
['This Agreement is governed by the laws of the State of New York without giving effect to principles of conflict of laws.'],Governing Law
"['This Agreement shall be governed by and construed in accordance with the laws of the State of New York, without giving effect to any choice of law or conflict of law provision or rule whether such provision or rule is that of the State of New York or any other jurisdiction.']",Governing Law
"['This Agreement shad be deemed a contract made under and shall be construed in accordance with and governed by the laws ofthe State ofTexas  and that actions arising out ofthis Agreement may be litigated in courts having situs in Harris County, Texas.']",Governing Law
"['This Agreement shall be governed by, construed, and enforced in accordance with the laws of the State of Texas, without regard to choice of  law principles that would require the application of the laws of any other jurisdiction.']",Governing Law
"['This Agreement shall be governed by and construed in accordance with the        laws of New York, without giving effect to the principles of conflict of        laws.']",Governing Law
